Iterations,Dice Score,IoU Score
0,0.9186954802396345,0.8504356283719845
1,0.9293724802075599,0.8687387402365807
2,0.9331855515233514,0.8754529035821255
3,0.9399063094943558,0.8871562881534607
4,0.9449667259138458,0.8961522931144345
5,0.9488459971486306,0.903070538871142
6,0.9511402398550591,0.9072176875711294
7,0.9532827862265969,0.9110962078684857
8,0.9547621690497107,0.9137932138378112
9,0.9567678312866055,0.9174543083930503
