Iterations,Dice Score,IoU Score
0,0.37501916885375974,0.67500082552433
1,0.7865021377801895,0.7714823633432387
2,0.8578278601169586,0.8067643031477929
3,0.8706095933914184,0.79943188726902
4,0.8795067921280861,0.8036103010177612
5,0.8876012548804284,0.8114797726273538
6,0.8896479740738868,0.8111931189894676
7,0.8917249068617821,0.8119289964437486
8,0.8936238765716553,0.8140611782670022
9,0.8924910932779313,0.8118604049086569
